,applystudent2,school2,applystudent1,datetime,school1
192,21,양지고,20,2020-04-08 21:41:55.814825,다정고
193,21,양지고,20,2020-04-08 21:42:01.111508,다정고
194,21,양지고,20,2020-04-08 21:42:06.504634,다정고
195,21,양지고,20,2020-04-08 21:42:11.900616,다정고
196,21,양지고,20,2020-04-08 21:42:17.204364,다정고
197,21,양지고,20,2020-04-08 21:42:22.725202,다정고
198,21,양지고,20,2020-04-08 21:42:28.097349,다정고
199,21,양지고,20,2020-04-08 21:42:33.513417,다정고
200,21,양지고,20,2020-04-08 21:42:38.890398,다정고
201,21,양지고,20,2020-04-08 21:42:44.480756,다정고
202,21,양지고,20,2020-04-08 21:42:49.827575,다정고
203,21,양지고,20,2020-04-08 21:42:55.154937,다정고
204,21,양지고,20,2020-04-08 21:43:00.517101,다정고
205,21,양지고,20,2020-04-08 21:43:05.844614,다정고
206,21,양지고,20,2020-04-08 21:43:11.164662,다정고
207,21,양지고,20,2020-04-08 21:43:16.495376,다정고
208,21,양지고,20,2020-04-08 21:43:21.832441,다정고
209,21,양지고,20,2020-04-08 21:43:27.390515,다정고
210,21,양지고,20,2020-04-08 21:43:33.401652,다정고
211,21,양지고,20,2020-04-08 21:43:39.788405,다정고
212,21,양지고,20,2020-04-08 21:43:45.137059,다정고
213,21,양지고,20,2020-04-08 21:43:50.485319,다정고
214,21,양지고,20,2020-04-08 21:43:55.801999,다정고
215,21,양지고,20,2020-04-08 21:44:01.110269,다정고
216,21,양지고,20,2020-04-08 21:44:06.459948,다정고
217,21,양지고,20,2020-04-08 21:44:11.862187,다정고
218,21,양지고,20,2020-04-08 21:44:17.221344,다정고
219,21,양지고,20,2020-04-08 21:44:22.609835,다정고
220,21,양지고,20,2020-04-08 21:44:27.926976,다정고
221,21,양지고,20,2020-04-08 21:44:33.258596,다정고
222,21,양지고,20,2020-04-08 21:44:38.588474,다정고
223,21,양지고,20,2020-04-08 21:44:43.903730,다정고
224,21,양지고,20,2020-04-08 21:44:49.236489,다정고
225,21,양지고,20,2020-04-08 21:44:54.594387,다정고
226,21,양지고,20,2020-04-08 21:44:59.922272,다정고
227,21,양지고,20,2020-04-08 21:45:05.293953,다정고
228,21,양지고,20,2020-04-08 21:45:10.665119,다정고
229,21,양지고,20,2020-04-08 21:45:15.981208,다정고
230,21,양지고,20,2020-04-08 21:45:21.318123,다정고
231,21,양지고,20,2020-04-08 21:45:26.678871,다정고
232,21,양지고,20,2020-04-08 21:45:32.003180,다정고
233,21,양지고,20,2020-04-08 21:45:37.337421,다정고
234,21,양지고,20,2020-04-08 21:45:42.670188,다정고
235,21,양지고,20,2020-04-08 21:45:47.987489,다정고
236,21,양지고,20,2020-04-08 21:45:53.324728,다정고
237,21,양지고,20,2020-04-08 21:45:58.694935,다정고
238,21,양지고,20,2020-04-08 21:46:04.065087,다정고
239,21,양지고,20,2020-04-08 21:46:09.415068,다정고
240,21,양지고,20,2020-04-08 21:46:14.777399,다정고
241,21,양지고,20,2020-04-08 21:46:20.104682,다정고
242,21,양지고,20,2020-04-08 21:46:25.436236,다정고
243,21,양지고,20,2020-04-08 21:46:30.769524,다정고
244,21,양지고,20,2020-04-08 21:46:36.023041,다정고
245,21,양지고,20,2020-04-08 21:46:41.300874,다정고
246,21,양지고,20,2020-04-08 21:46:46.677924,다정고
247,21,양지고,20,2020-04-08 21:46:51.947871,다정고
248,21,양지고,20,2020-04-08 21:46:57.274174,다정고
249,21,양지고,20,2020-04-08 21:47:02.613429,다정고
