,applystudent2,school2,applystudent1,school1,datetime
169,21,양지고,20,다정고,2020-04-08 07:50:40.406487
170,21,양지고,20,다정고,2020-04-08 07:50:45.664869
171,21,양지고,20,다정고,2020-04-08 07:50:50.939003
172,21,양지고,20,다정고,2020-04-08 07:50:56.192116
173,21,양지고,20,다정고,2020-04-08 07:51:01.447569
174,21,양지고,20,다정고,2020-04-08 07:51:06.674192
175,21,양지고,20,다정고,2020-04-08 07:51:11.930684
176,21,양지고,20,다정고,2020-04-08 07:51:17.150653
177,21,양지고,20,다정고,2020-04-08 07:51:22.417266
178,21,양지고,20,다정고,2020-04-08 07:51:27.637590
179,21,양지고,20,다정고,2020-04-08 07:51:32.893780
180,21,양지고,20,다정고,2020-04-08 07:51:38.116545
181,21,양지고,20,다정고,2020-04-08 07:51:43.361934
182,21,양지고,20,다정고,2020-04-08 07:51:48.580936
183,21,양지고,20,다정고,2020-04-08 07:51:53.824230
184,21,양지고,20,다정고,2020-04-08 07:51:59.065262
185,21,양지고,20,다정고,2020-04-08 07:52:04.340443
186,21,양지고,20,다정고,2020-04-08 07:52:09.561389
187,21,양지고,20,다정고,2020-04-08 07:52:14.811210
188,21,양지고,20,다정고,2020-04-08 07:52:20.035321
189,21,양지고,20,다정고,2020-04-08 07:52:25.281794
190,21,양지고,20,다정고,2020-04-08 07:52:30.504586
191,21,양지고,20,다정고,2020-04-08 07:52:35.749546
192,21,양지고,20,다정고,2020-04-08 07:52:40.972124
193,21,양지고,20,다정고,2020-04-08 07:52:46.227726
194,21,양지고,20,다정고,2020-04-08 07:52:51.464791
195,21,양지고,20,다정고,2020-04-08 07:52:56.703238
196,21,양지고,20,다정고,2020-04-08 07:53:01.955244
197,21,양지고,20,다정고,2020-04-08 07:53:07.252282
198,21,양지고,20,다정고,2020-04-08 07:53:12.566071
199,21,양지고,20,다정고,2020-04-08 07:53:17.923913
200,21,양지고,20,다정고,2020-04-08 07:53:23.210507
201,21,양지고,20,다정고,2020-04-08 07:53:28.547847
202,21,양지고,20,다정고,2020-04-08 07:53:33.873574
203,21,양지고,20,다정고,2020-04-08 07:53:39.267689
204,21,양지고,20,다정고,2020-04-08 07:53:44.566269
205,21,양지고,20,다정고,2020-04-08 07:53:49.884292
206,21,양지고,20,다정고,2020-04-08 07:53:55.190280
207,21,양지고,20,다정고,2020-04-08 07:54:00.497158
208,21,양지고,20,다정고,2020-04-08 07:54:05.931768
209,21,양지고,20,다정고,2020-04-08 07:54:11.221806
210,21,양지고,20,다정고,2020-04-08 07:54:16.540079
211,21,양지고,20,다정고,2020-04-08 07:54:21.826569
212,21,양지고,20,다정고,2020-04-08 07:54:27.700954
213,21,양지고,20,다정고,2020-04-08 07:54:33.009229
214,21,양지고,20,다정고,2020-04-08 07:54:38.557002
215,21,양지고,20,다정고,2020-04-08 07:54:43.862029
216,21,양지고,20,다정고,2020-04-08 07:54:49.162626
217,21,양지고,20,다정고,2020-04-08 07:54:54.492407
218,21,양지고,20,다정고,2020-04-08 07:54:59.822842
219,21,양지고,20,다정고,2020-04-08 07:55:05.170439
220,21,양지고,20,다정고,2020-04-08 07:55:10.464952
221,21,양지고,20,다정고,2020-04-08 07:55:15.778589
222,21,양지고,20,다정고,2020-04-08 07:55:21.095056
223,21,양지고,20,다정고,2020-04-08 07:55:26.396528
224,21,양지고,20,다정고,2020-04-08 07:55:31.707200
225,21,양지고,20,다정고,2020-04-08 07:55:37.011425
226,21,양지고,20,다정고,2020-04-08 07:55:42.314882
227,21,양지고,20,다정고,2020-04-08 07:55:47.591818
228,21,양지고,20,다정고,2020-04-08 07:55:52.860584
229,21,양지고,20,다정고,2020-04-08 07:55:58.731001
230,21,양지고,20,다정고,2020-04-08 07:56:04.029471
231,21,양지고,20,다정고,2020-04-08 07:56:09.319182
232,21,양지고,20,다정고,2020-04-08 07:56:14.647884
233,21,양지고,20,다정고,2020-04-08 07:56:19.939577
234,21,양지고,20,다정고,2020-04-08 07:56:25.212494
235,21,양지고,20,다정고,2020-04-08 07:56:30.501434
236,21,양지고,20,다정고,2020-04-08 07:56:35.815198
237,21,양지고,20,다정고,2020-04-08 07:56:41.127897
238,21,양지고,20,다정고,2020-04-08 07:56:46.462798
239,21,양지고,20,다정고,2020-04-08 07:56:51.829278
240,21,양지고,20,다정고,2020-04-08 07:56:57.131309
241,21,양지고,20,다정고,2020-04-08 07:57:02.432958
242,21,양지고,20,다정고,2020-04-08 07:57:07.754163
243,21,양지고,20,다정고,2020-04-08 07:57:13.072697
244,21,양지고,20,다정고,2020-04-08 07:57:18.364047
245,21,양지고,20,다정고,2020-04-08 07:57:23.654979
246,21,양지고,20,다정고,2020-04-08 07:57:29.000769
247,21,양지고,20,다정고,2020-04-08 07:57:34.343662
248,21,양지고,20,다정고,2020-04-08 07:57:39.629125
249,21,양지고,20,다정고,2020-04-08 07:57:44.938702
250,21,양지고,20,다정고,2020-04-08 07:57:50.238893
251,21,양지고,20,다정고,2020-04-08 07:57:55.529936
252,21,양지고,20,다정고,2020-04-08 07:58:00.868480
253,21,양지고,20,다정고,2020-04-08 07:58:06.148146
254,21,양지고,20,다정고,2020-04-08 07:58:11.431058
255,21,양지고,20,다정고,2020-04-08 07:58:16.725781
256,21,양지고,20,다정고,2020-04-08 07:58:22.009138
257,21,양지고,20,다정고,2020-04-08 07:58:27.299012
258,21,양지고,20,다정고,2020-04-08 07:58:32.592868
259,21,양지고,20,다정고,2020-04-08 07:58:37.891573
260,21,양지고,20,다정고,2020-04-08 07:58:43.200930
261,21,양지고,20,다정고,2020-04-08 07:58:48.487064
262,21,양지고,20,다정고,2020-04-08 07:58:53.776344
263,21,양지고,20,다정고,2020-04-08 07:58:59.078412
264,21,양지고,20,다정고,2020-04-08 07:59:04.371347
265,21,양지고,20,다정고,2020-04-08 07:59:09.655752
266,21,양지고,20,다정고,2020-04-08 07:59:14.953133
267,21,양지고,20,다정고,2020-04-08 07:59:20.260466
268,21,양지고,20,다정고,2020-04-08 07:59:25.543862
269,21,양지고,20,다정고,2020-04-08 07:59:30.846017
270,21,양지고,20,다정고,2020-04-08 07:59:36.132992
271,21,양지고,20,다정고,2020-04-08 07:59:41.421459
272,21,양지고,20,다정고,2020-04-08 07:59:46.714935
273,21,양지고,20,다정고,2020-04-08 07:59:52.007525
274,21,양지고,20,다정고,2020-04-08 07:59:57.315144
275,21,양지고,20,다정고,2020-04-08 08:00:02.606385
276,21,양지고,20,다정고,2020-04-08 08:00:07.909956
277,21,양지고,20,다정고,2020-04-08 08:00:13.208066
278,21,양지고,20,다정고,2020-04-08 08:00:18.492780
279,21,양지고,20,다정고,2020-04-08 08:00:23.779935
280,21,양지고,20,다정고,2020-04-08 08:00:29.068346
281,21,양지고,20,다정고,2020-04-08 08:00:34.361578
282,21,양지고,20,다정고,2020-04-08 08:00:39.642822
283,21,양지고,20,다정고,2020-04-08 08:00:44.932013
284,21,양지고,20,다정고,2020-04-08 08:00:50.239958
285,21,양지고,20,다정고,2020-04-08 08:00:55.535585
286,21,양지고,20,다정고,2020-04-08 08:01:00.820367
287,21,양지고,20,다정고,2020-04-08 08:01:06.122755
288,21,양지고,20,다정고,2020-04-08 08:01:11.427920
289,21,양지고,20,다정고,2020-04-08 08:01:16.753838
